URL,POSITIVE SCORE,Negaive SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
https://insights.blackcoffer.com/how-is-login-logout-time-tracking-for-employees-in-office-done-by-ai/,4,4,0.0,0.04705879584776715,23.27777777777778,33.65,22.77111111111111,141,419,2.081145584725537,4,6.491646778042959
https://insights.blackcoffer.com/how-does-ai-help-to-monitor-retail-shelf-watches/,9,6,0.19999986666675557,0.0882352422145634,19.3,39.12,23.368000000000002,151,386,2.2202072538860103,2,6.787564766839378
https://insights.blackcoffer.com/ai-and-its-impact-on-the-fashion-industry/,31,20,0.21568623221838581,0.29999982352951554,27.23076923076923,43.22,28.180307692307693,459,1062,2.3333333333333335,13,7.051789077212806
https://insights.blackcoffer.com/how-do-deep-learning-models-predict-old-and-new-drugs-that-are-successfully-treated-in-healthcare/,5,1,0.6666655555574075,0.03529409688582536,18.357142857142858,44.75,25.242857142857147,115,257,2.2334630350194553,1,6.78988326848249
https://insights.blackcoffer.com/how-artificial-intelligence-can-boost-your-productivity-level/,10,11,-0.04761902494332146,0.12352933910038877,12.709677419354838,44.67,22.95187096774194,176,394,2.3274111675126905,21,6.969543147208122
https://insights.blackcoffer.com/how-are-genetic-sequencing-maps-affected-by-deep-learning-and-ai/,17,12,0.17241373365043666,0.17058813494815592,18.486486486486488,49.12,27.042594594594597,336,684,2.378654970760234,3,7.055555555555555
https://insights.blackcoffer.com/how-is-ai-used-to-solve-traffic-management/,20,26,-0.13043475425331427,0.2705880761246611,18.26530612244898,39.55,23.12612244897959,354,895,2.2949720670391063,1,6.902793296089386
https://insights.blackcoffer.com/benefits-of-big-data-in-different-fields/,31,11,0.47619036281181837,0.24705867820077754,22.970588235294116,40.08,25.220235294117646,313,781,2.352112676056338,8,6.8962868117797695
https://insights.blackcoffer.com/how-big-data-will-impact-the-future-of-business/,36,11,0.5319147804436637,0.276470425605632,15.092592592592593,36.32,20.56503703703704,296,815,2.2993865030674847,3,6.738650306748466
https://insights.blackcoffer.com/how-will-ai-make-decisions-in-tomorrows-wars/,8,16,-0.3333331944445023,0.14117638754330145,13.23076923076923,34.88,19.244307692307697,120,344,2.2238372093023258,2,6.47093023255814
